questionText,trlLevel,technologyType,category,toolTip
Stable and pure lines selected,5,New Plant Variety (Conventional),,
Preliminary field trials conducted in controlled plots,5,New Plant Variety (Conventional),,
Field performance documentation prepared,5,New Plant Variety (Conventional),,
Accomplished Initial Business Model Canvas (BMC),5,New Plant Variety (Conventional),Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,5,New Plant Variety (Conventional),,
Market Research conducted,5,New Plant Variety (Conventional),Market and Commercialization Status,
Meetings with potential industry partners,5,New Plant Variety (Conventional),,
Agreements with industry parters for product testing secured,6,New Plant Variety (Conventional),,
Multi-location trials conducted to evaluate performance across environments,6,New Plant Variety (Conventional),,
Engagement with seed growers for seed multiplication tests,6,New Plant Variety (Conventional),,
Industry feedback collected,6,New Plant Variety (Conventional),,
Regulatory preparation for variety registration initiated,6,New Plant Variety (Conventional),Regulatory Compliance Status,
Seed/plant materials production protocol standardized for commercial adoption,7,New Plant Variety (Conventional),,
Submitted to National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI) for variety testing,7,New Plant Variety (Conventional),,
"Submitted for Distinctness, Uniformity, Stability, (DUS) testing (if Plant Variety Protection-eligible)",7,New Plant Variety (Conventional),,
Secure Letter of Intent for Licensing,7,New Plant Variety (Conventional),,
Technology Licensing Terms Undergoing Negotiation,7,New Plant Variety (Conventional),,
Business Plan crafted,7,New Plant Variety (Conventional),Market and Commercialization Status,
Stable and consistent seed/plant production at industry scale achieved,8,New Plant Variety (Conventional),,
Variety officially registered and released,8,New Plant Variety (Conventional),,
Seed/plant certification or registration obtained,8,New Plant Variety (Conventional),,
Technology Licensing Terms Negotiated,8,New Plant Variety (Conventional),,
Fairness Opinion Review requested,8,New Plant Variety (Conventional),Market and Commercialization Status,
Technology Licensing Agreement signed,9,New Plant Variety (Conventional),Industry Adoption Status,
New plant variety fully commercialized/Variety commercially available to target users,9,New Plant Variety (Conventional),Market and Commercialization Status,
Concept Development or Breeding objectives identified,1,New Plant Variety (Gene-Edited and GM),Technology Status,
Potential end-users and target markets identified,1,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Bioinformatic Analysis of Gene Function/In-silico Studies Conducted,1,New Plant Variety (Gene-Edited and GM),,
Germplasm Collected,2,New Plant Variety (Gene-Edited and GM),,
Marker Developed/Gene Identified,2,New Plant Variety (Gene-Edited and GM),,
"Molecular Construct Planned (CRISPR, RNAi)",2,New Plant Variety (Gene-Edited and GM),,
"Preliminary market requirements considered (relevance, consumer/end-user needs)",2,New Plant Variety (Gene-Edited and GM),,
Genetic Modification Designs Developed (CRISPR/RNAi Constructs),3,New Plant Variety (Gene-Edited and GM),,
Transformation or Gene Editing in Laboratory or Growth Chamber Conducted,3,New Plant Variety (Gene-Edited and GM),,
Controlled Enviroinmental Studies (please specify),3,New Plant Variety (Gene-Edited and GM),,
Institutional Biosafety Committee (IBC) Approval Initiated,3,New Plant Variety (Gene-Edited and GM),,
Proof of Potential Economic Viability,3,New Plant Variety (Gene-Edited and GM),,
Edited/Modified Plant Regenerated,4,New Plant Variety (Gene-Edited and GM),,
"Target Traits Confirmed via Sequencing, PCR, or Marker Analysis",4,New Plant Variety (Gene-Edited and GM),,
Preliminary Phenotyping under Greenhouse Conducted,4,New Plant Variety (Gene-Edited and GM),,
Identified Potential industry Partner for Industry Testing,4,New Plant Variety (Gene-Edited and GM),,
Edited/Modified Lines Evaluated in Greenhouse or Actual Field Plots,5,New Plant Variety (Gene-Edited and GM),,
Agronomic and Phenotypic Data Collected,5,New Plant Variety (Gene-Edited and GM),,
Applied for Regulatory Status Confirmation (RSC) to Department of Agriculture-Bureau of Plant Industry (DA-BPI),5,New Plant Variety (Gene-Edited and GM),Regulatory Compliance Status,
Procesing of DA-BPI Biosafety Permit for Confined Field Trials,5,New Plant Variety (Gene-Edited and GM),,
Contained Field Trial/Confined Test for GM Crops Conducted,5,New Plant Variety (Gene-Edited and GM),,
Accomplished Initial Business Model Canvas (BMC),5,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,5,New Plant Variety (Gene-Edited and GM),,
Market Research conducted,5,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Meetings with potential industry partners,5,New Plant Variety (Gene-Edited and GM),,
Agreements with industry parters for product testing secured,6,New Plant Variety (Gene-Edited and GM),,
Biosfatey Permit Secured,6,New Plant Variety (Gene-Edited and GM),,
Multi-location Confined Field Trials Conducted,6,New Plant Variety (Gene-Edited and GM),,
Engagement with seed growers for seed multiplication tests,6,New Plant Variety (Gene-Edited and GM),,
Industry feedback collected,6,New Plant Variety (Gene-Edited and GM),,
Regulatory preparation for variety registration initiated,6,New Plant Variety (Gene-Edited and GM),Regulatory Compliance Status,
Seed/plant materials production protocol standardized for commercial adoption,7,New Plant Variety (Gene-Edited and GM),,
Submitted to National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI) for variety testing,7,New Plant Variety (Gene-Edited and GM),,
"Submitted for Distinctness, Uniformity, Stability, (DUS) testing (if Plant Variety Protection-eligible)",7,New Plant Variety (Gene-Edited and GM),,
Secure Letter of Intent for Licensing,7,New Plant Variety (Gene-Edited and GM),,
Technology Licensing Terms Undergoing Negotiation,7,New Plant Variety (Gene-Edited and GM),,
Business Plan crafted,7,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Stable and consistent seed production at industry scale achieved,8,New Plant Variety (Gene-Edited and GM),,
Variety officially registered and released,8,New Plant Variety (Gene-Edited and GM),,
Seed Certification Obtained,8,New Plant Variety (Gene-Edited and GM),,
Technology Licensing Terms Negotiated,8,New Plant Variety (Gene-Edited and GM),,
Fairness Opinion Review requested,8,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
Technology Licensing Agreement signed,9,New Plant Variety (Gene-Edited and GM),Industry Adoption Status,
New plant variety fully commercialized/Variety commercially available to target users,9,New Plant Variety (Gene-Edited and GM),Market and Commercialization Status,
